[2023-03-10 17:25:57,553] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:26:14,299] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:26:14,303] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:26:20,025] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:26:23,712] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:26:25,122] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:26:48,430] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:26:49,388] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:26:49,782] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:26:53,453] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:36:13,404] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:36:13,410] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:36:30,506] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:36:30,511] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:36:39,702] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:36:51,430] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:36:51,435] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:37:07,683] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:37:07,687] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:37:20,216] 192.168.3.36 requested http://192.168.3.36:5003/getstrategy | {'strategyname': 'test2'}: DEBUG in main_API: get strategy
[2023-03-10 17:37:23,558] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:38:07,986] 192.168.3.36 requested http://192.168.3.36:5003/squareoff | {'strategyname': 'test2', 'turnoff': True}: DEBUG in main_API: squareoff
[2023-03-10 17:38:14,298] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:38:29,465] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:38:58,233] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:38:58,237] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:39:09,250] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:39:09,256] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:39:15,452] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:40:17,475] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:40:17,480] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:40:21,082] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:46:30,627] 192.168.3.106 requested http://192.168.3.36:5003/allstrategies | []: DEBUG in main_API: all strategy
[2023-03-10 17:46:54,282] 192.168.3.106 requested http://192.168.3.36:5003/positionswithissues | []: DEBUG in main_API: positionswithissues
[2023-03-10 17:46:57,701] 192.168.3.106 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:47:00,300] 192.168.3.106 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': ''}: DEBUG in main_API: STnetpositions
[2023-03-10 17:55:10,850] 192.168.3.106 requested http://192.168.3.36:5003/allstrategies | []: DEBUG in main_API: all strategy
[2023-03-10 18:01:20,338] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 18:01:29,086] 192.168.3.36 requested http://192.168.3.36:5003/squareoff | {'strategyname': 'test2', 'turnoff': True}: DEBUG in main_API: squareoff
[2023-03-10 18:01:45,447] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 18:01:50,901] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 18:01:53,726] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 18:02:06,477] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 18:02:06,483] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 75, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 18:02:19,739] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 18:02:19,744] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 18:02:26,291] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 18:02:53,920] 192.168.3.106 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
